id,county,pool_name,address,city,zip,inspection_date,findings
38,DeKalb,THE HAVERLY AT STONE MOUNTAIN APTS.,2700 SUMMIT CREEK DRIVE,STONE MOUNTAIN,30083,5/24/2012,Yes
39,DeKalb,SHADOW ROCK LAKES SUBDIVISION,971 SHADOW LAKES DRIVE,LITHONIA,30058,5/24/2012,Yes
40,DeKalb,REGENCY WOODS APTS.,3160 BUFORD HIGHWAY,ATLANTA,30329,5/24/2012,Yes
41,DeKalb,ESQUIRE APTS.,"3102 BUFORD HIGHWAY, STE. B",ATLANTA,30329,5/24/2012,No
42,DeKalb,ROBINS LANDING APTS.,3529 ROBINS LANDING WAY,DECATUR,30032,5/24/2012,Yes
43,DeKalb,HOLLY HILL SUBDIVISION,3400 HOLLY HILL PKWY.,ELLENWOOD,30294,5/24/2012,No
44,DeKalb,RESERVE AT STONE CREEK APTS. (UPPER POOL),1420 S. HAIRSTON ROAD,STONE MOUNTAIN,30088,5/23/2012,Yes
45,DeKalb,MARQUIS CREST APTS.,37 TREEVIEW DRIVE,LITHONIA,30038,5/25/2012,No
46,DeKalb,PARKWAY GRAND APTS.,100 WOODBERRY PLACE,DECATUR,30034,5/25/2012,No
47,DeKalb,HIGHLAND CLUB APTS.,2567 WHITES MILL ROAD,DECATUR,30034,5/25/2012,Yes
48,DeKalb,CONCEPTS 21 AT HILLANDALE APTS.,5650 HILLANDALE DRIVE,LITHONIA,30058,5/25/2012,No
49,DeKalb,ASHLEY VISTA APTS.,100 CAMELIA LN.,LITHONIA,30058,5/25/2012,No
50,DeKalb,ASHLEY VISTA APTS.,100 CAMELIA LN.,LITHONIA,30058,5/25/2012,Yes
51,DeKalb,HUNTERS COMMUNITIES HOA,5500 REYNARD TRAIL,LITHONIA,30038,5/25/2012,No
52,DeKalb,WALDEN BROOK ATLANTA APTS.,100 WALDEN BROOK DRIVE,LITHONIA,30038,5/25/2012,Yes
53,DeKalb,ORCHARD WALK APTS.,3800 FLAT SHOALS PKWY.,DECATUR,30034,5/25/2012,No
54,DeKalb,OAKS AT STONECREST,2795 EVANS MILL ROAD,LITHONIA,30058,5/25/2012,No
55,DeKalb,HAMPTON WOODS APTS.,2325 WOODCREST WALK,LITHONIA,30058,5/25/2012,Yes
56,DeKalb,CARRIAGE PLACE APTS.,645 DEKALB INDUSTRIAL WAY,DECATUR,30033,5/25/2012,No
57,DeKalb,VALLEY BROOK CROSSING APTS.,777 VALLEY BROOK CROSSING,DECATUR,30033,5/25/2012,No
58,DeKalb,PANGBORN SWIM CLUB (POOL),2785 MILLWOOD CT.,DECATUR,30033,5/25/2012,No
59,DeKalb,PANGBORN SWIM CLUB (KIDDIE POOL),2785 MILLWOOD CT.,DECATUR,30033,5/25/2012,No
60,DeKalb,SHAMROCK PLACE APTS.,2316 LAWRENCEVILLE HIGHWAY,DECATUR,30033,5/25/2012,No
61,DeKalb,SUMMIT GROVE APTS.,2340 LAWRENCEVILLE HIGHWAY,DECATUR,30033,5/25/2012,No
62,DeKalb,DECATUR ONE EAST APTS. (POOL 2),3073 CEDAR CREEK PKWY.,DECATUR,30033,5/25/2012,No
63,DeKalb,DECATUR ONE EAST APTS. (POOL 1),3073 CEDAR CREEK PKWY.,DECATUR,30033,5/25/2012,No
64,DeKalb,93 EAST APTS.,2589 SHALLOWFORD ROAD,ATLANTA,30345,5/25/2012,No
65,DeKalb,PINEWOOD TOWNHOMES,3535 LAWRENCEVILLE HIGHWAY,TUCKER,30084,5/26/2012,No
66,DeKalb,ALDERWOOD AT PLEASANTDALE (POOL 1),3497 MEADOWGLEN VILLAGE LN.,ATLANTA,30340,5/25/2012,No
67,DeKalb,FIVE OAKS APTS.,1200 MONTREAL RD.,TUCKER,30084,5/25/2012,No
68,DeKalb,POINT AT PERIMETER APTS. (POOL 1),100 ASHFORD GABLES DRIVE,DUNWOODY,30338,5/25/2012,No
69,DeKalb,DUNWOODY GABLES APTS.,1970 PEACHFORD RD.,DUNWOODY,30338,5/25/2012,No
70,DeKalb,PARKWOOD VILLAGE APTS.,4920 WINTERS CHAPEL ROAD,ATLANTA,30360,5/25/2012,Yes
71,DeKalb,JASMINE AT WINTERS CHAPEL APTS. (POOL 1),4335 WINTERS CHAPEL ROAD,ATLANTA,30360,5/25/2012,Yes
72,DeKalb,CHATEAU AT DUNWOODY CONDOMINIUMS,4430 TILLY MILL ROAD,DORAVILLE,30360,5/25/2012,Yes
73,DeKalb,MARQUIS POINTE APTS.,1313 STONE MILL WAY,STONE MOUNTAIN,30083,5/25/2012,No
74,DeKalb,STANFORD OAKS APTS.,2035 IDLEWOOD ROAD,TUCKER,30084,5/25/2012,Yes
75,DeKalb,ORLEANS GARDENS APTS.,3544 OLD CHAMBLEE-TUCKER ROAD,DORAVILLE,30340,5/25/2012,No
76,DeKalb,HENDERSON MILL CONDOMINIUMS,3208 HENDERSON MILL ROAD,ATLANTA,30341,5/25/2012,No
77,DeKalb,LES JARDINS APTS.,3207 HENDERSON MILL ROAD N.E.,ATLANTA,30341,5/25/2012,No
78,DeKalb,MAPEL BEND CONDOMINIUMS,4101-4155 N. GLOUCESTER PLACE,CHAMBLEE,30341,5/25/2012,No
79,DeKalb,HIDDEN COLONY APTS.,"3373 AZTEC ROAD, #5",DORAVILLE,30340,5/25/2012,No
80,DeKalb,BRYTON HILL APTS.,2527 SKYLAND DRIVE N.E.,ATLANTA,30319,5/25/2012,No
81,DeKalb,THE POINTE APTS. (LOWER POOL),5130 E. PONCE DE LEON AVE.,STONE MOUNTAIN,30083,5/25/2012,Yes
82,DeKalb,EXECUTIVE PARK APTS.,2600 BRIARCLIFF ROAD N.E.,ATLANTA,30329,5/25/2012,No
83,DeKalb,MADISON BROOKHAVEN (LOWER POOL),3078 CLAIRMONT ROAD N.E.,ATLANTA,30329,5/25/2012,No
84,DeKalb,IVY PLACE APTS.,3028 CLAIRMONT ROAD,ATLANTA,30329,5/25/2012,Yes
85,DeKalb,AUDUBON BRIARCLIFF APTS.,3120 BRIARCLIFF ROAD N.E.,ATLANTA,30329,5/25/2012,No
86,DeKalb,KENSINGTON STATION APTS. (CLUBHOUSE POOL),3465 KENSINGTON ROAD,DECATUR,30032,5/25/2012,No
87,DeKalb,SPRING VALLEY CIVIC ASSOCIATION,3526 SPRINGSIDE DRIVE,DECATUR,30032,5/25/2012,No
88,DeKalb,ARIUM STATION 29 APTS.,2334 FULLER WAY,TUCKER,30084,5/24/2012,No
89,DeKalb,LEHAVEN CONDOMINIUMS,2463 LEHAVEN DRIVE,TUCKER,30084,5/24/2012,No
90,DeKalb,THE CLAIREMONT CONDOMINIUMS,417 CLAIREMONT AVE.,DECATUR,30030,5/24/2012,No
91,DeKalb,UNITED METHODIST CHILDREN'S HOME,500 S. COLUMBIA DRIVE,DECATUR,30030,5/24/2012,Yes
92,DeKalb,TUSCANY VILLAGE APTS.,600 NORTHERN AVE.,CLARKSTON,30021,5/24/2012,Yes
93,DeKalb,JASMINE AT WINTERS CHAPEL APTS. (POOL 2),4335 WINTERS CHAPEL ROAD,ATLANTA,30360,5/25/2012,Yes
94,DeKalb,WESLEY CLUB APTS.,4103 WESLEY CLUB DRIVE,DECATUR,30034,5/23/2012,No
95,DeKalb,TUXWORTH SPRINGS CONDOMINIUMS (POOL),1628 SCOTT BLVD.,DECATUR,30030,5/24/2012,No
96,DeKalb,RESIDENCY AT NORTHLAKE APTS.,3421 NORTHLAKE PKWY. N.E.,ATLANTA,30345,5/25/2012,No
97,DeKalb,RESERVE AT STONE CREEK APTS. (LOWER POOL),1420 S. HAIRSTON ROAD,STONE MOUNTAIN,30088,5/23/2012,Yes
98,DeKalb,THE MANHATTAN CONDOMINIUMS,4561 OLDE PERIMETER WAY,ATLANTA,30346,5/24/2012,No
99,DeKalb,ALEXANDER AT STONECREST APTS.,100 LESLIE OAKS DRIVE,LITHONIA,30058,5/24/2012,No
100,DeKalb,MARQUIS CHASE APTS.,400 ASHLEY PLACE,STONE MOUNTAIN,30083,5/24/2012,Yes
101,DeKalb,ROCK SPRINGS ESTATES (VILLA POOL),1401 MARKAN DRIVE,ATLANTA,30306,5/24/2012,No
102,DeKalb,NORTHEAST PLAZA APTS. (POOL 1),3506 BUFORD HIGHWAY N.E.,ATLANTA,30329,5/24/2012,Yes
103,DeKalb,CARLYLE WOODS CONDOMIMIUM,1468 BRIARWOOD ROAD,ATLANTA,30319,5/24/2012,No
104,DeKalb,EMORY ARMS APTS.,1295 E. ROCK SPRINGS ROAD,ATLANTA,30306,5/24/2012,No
105,DeKalb,HOLIDAY INN EXPRESS,2183 N. DECATUR ROAD,DECATUR,30033,5/30/2012,No
106,DeKalb,KENCO-BUFORD I APTS.,2716 BUFORD HIGHWAY N.E.,ATLANTA,30324,5/30/2012,No
107,DeKalb,LAUREL HEIGHTS HOSPITAL,934 BRIARCLIFF ROAD,ATLANTA,30306,5/30/2012,No
108,DeKalb,SWEET WATER RECREATION ASSOC. INC.,4204 STILL WATER POINT,ELLENWOOD,30294,5/30/2012,No
109,DeKalb,COVINGTON GLEN APTS. (POOL 1),5816 COVINGTON HWY.,DECATUR,30035,5/30/2012,Yes
110,DeKalb,THE HIGHLANDS AT HIDDEN HILLS CONDOS,HIGHLAND HILLS PKWY.,STONE MOUNTAIN,30088,5/30/2012,No
111,DeKalb,SKYLINE CHRISTIAN ACADEMY,2877 BOULDERCREST ROAD,ELLENWOOD,30294,5/30/2012,No
112,DeKalb,PARK POINTE NORTH APTS. (PHASE II),3125 FLOWERS ROAD,ATLANTA,30341,5/30/2012,Yes
113,DeKalb,PARK POINTE NORTH APTS. (PHASE III),3125 FLOWERS ROAD,ATLANTA,30341,5/30/2012,No
114,DeKalb,PARK POINTE NORTH APTS. (PHASE I),3125 FLOWERS ROAD,ATLANTA,30341,5/30/2012,Yes
115,DeKalb,VILLAS OF EMBRY HILLS APARTMENT HOMES,3343 CHAMBLEE-TUCKER ROAD,CHAMBLEE,30341,5/30/2012,Yes
116,DeKalb,FONTAINEBLEAU COMMUNITY CENTER,2694 FOUNTAINBLEAU DRIVE,ATLANTA,30360,5/30/2012,No
117,DeKalb,WELLINGTON PLACE CONDOMINIUM ASSN. INC.,2250 PERNOSHAL COURT,DUNWOODY,30338,5/30/2012,No
118,DeKalb,DUNWOODY COURT CONDOMINIUMS,2080 PEACHFORD ROAD,DUNWOODY,30338,5/30/2012,No
119,DeKalb,SADDLERIDGE/SAVOY CHASE/THE TRAILS S.D.,3983 E. SADDLERIDGE DRIVE,LITHONIA,30038,5/29/2012,No
120,DeKalb,ADCOX SQUARE TOWNHOMES,1337 ADCOX SQUARE,STONE MOUNTAIN,30083,5/30/2012,No
121,DeKalb,GARDEN WALK CONDOMINIUMS,651 GARDEN WALK DRIVE,STONE MOUNTAIN,30083,5/30/2012,No
122,DeKalb,HEARTHSTONE COMMUNITY CLUB,867 HEARTHSTONE DRIVE,STONE MOUNTAIN,30083,5/30/2012,No
123,DeKalb,ORCHARD PARK CONDOMINIUMS,1300 ORCHARD PARK DRIVE,STONE MOUNTAIN,30083,5/30/2012,No
124,DeKalb,"TEACH ""O"" REA PREPARATORY PRESCHOOL",791 RAYS ROAD,STONE MOUNTAIN,30083,5/30/2012,No
125,DeKalb,THE HAVERLY AT STONE MOUNTAIN APTS.,2700 SUMMIT CREEK DRIVE,STONE MOUNTAIN,30083,5/30/2012,No
126,DeKalb,SPRING VALLEY APTS.,2823 MISTY WATERS DRIVE,DECATUR,30032,5/30/2012,Yes
127,DeKalb,AVENTINE AT ASHFORD APTS.,3716 ASHFORD DUNWOODY ROAD,ATLANTA,30319,5/30/2012,No
128,DeKalb,VIEWS AT LENOX CROSSING TOWNHOMES,1377 BRIARWOOD ROAD,ATLANTA,30319,5/30/2012,No
129,DeKalb,BRIARWOOD PARK (KIDDIE POOL),2235 BRIARWOOD WAY,ATLANTA,30319,5/30/2012,No
130,DeKalb,BRIARWOOD PARK (POOL),2235 BRIARWOOD WAY,ATLANTA,30319,5/30/2012,No
131,DeKalb,KENCO LAVISTA APTS.,2284 LAVISTA ROAD N.E.,ATLANTA,30329,5/30/2012,Yes
132,DeKalb,3200 CLAIRMONT NORTH CONDOMINIUMS,3200 CLAIRMONT ROAD,ATLANTA,30329,5/30/2012,No
133,DeKalb,DRESDEN FOREST APTS.,1526 DRESDEN DRIVE,ATLANTA,30319,5/30/2012,No
134,DeKalb,WINDWOOD APTS.,1983 DREW VALLEY ROAD,ATLANTA,30319,5/30/2012,No
135,DeKalb,BRIARWOOD PARK (KIDDIE POOL),2235 BRIARWOOD WAY,ATLANTA,30319,5/25/2012,No
136,DeKalb,BERKSHIRE CONDOMINIUMS,2341 HENDERSON MILL ROAD N.E.,ATLANTA,30345,5/30/2012,No
137,DeKalb,CEDAR CIRCLE CONDOMINIUMS,1535 BROCKETT ROAD,TUCKER,30084,5/30/2012,No
138,DeKalb,BENTLEY PLACE CONDOMINIUMS (SPA),215 BENTLEY PLACE,TUCKER,30084,5/30/2012,Yes
139,DeKalb,BENTLEY PLACE CONDOMINIUMS (POOL),215 BENTLEY PLACE,TUCKER,30084,5/30/2012,No
140,DeKalb,BENTLEY PLACE CONDOMINIUMS (SPA),215 BENTLEY PLACE,TUCKER,30084,5/30/2012,No
141,DeKalb,TUSCANY VILLAGE APTS.,600 NORTHERN AVE.,CLARKSTON,30021,5/30/2012,Yes
142,DeKalb,KELLY COFER PARK (POOL),4527 N. PARK DRIVE,TUCKER,30084,5/25/2012,No
143,DeKalb,KELLY COFER PARK (KIDDIE POOL),4527 N. PARK DRIVE,TUCKER,30084,5/25/2012,No
144,DeKalb,MEDLOCK PARK (POOL),874 GAYLEMONT CIRCLE,DECATUR,30030,5/25/2012,No
145,DeKalb,MEDLOCK PARK (KIDDIE POOL),874 GAYLEMONT CIRCLE,DECATUR,30030,5/25/2012,No
146,DeKalb,BRIARWOOD PARK (POOL),2235 BRIARWOOD WAY,ATLANTA,30319,5/25/2012,No
147,DeKalb,MURPHY-CANDLER PARK (KIDDIE POOL),1526 W. NANCY CREEK DRIVE,DUNWOODY,30341,5/25/2012,No
148,DeKalb,MURPHY CANDLER PARK (POOL),1526 W. NANCY CREEK DRIVE,CHAMBLEE,30341,5/25/2012,No
149,DeKalb,CANDLER PARK POOL,1500 McCLENDON AVE.,ATLANTA,30307,5/24/2012,Yes
150,DeKalb,CANDLER PARK POOL,1500 McCLENDON AVE.,ATLANTA,30307,5/25/2012,Yes
151,DeKalb,BRIARWOOD PARK (SPLASH POOL),2235 BRIARWOOD WAY,ATLANTA,30319,5/23/2012,No
152,DeKalb,KINGSLEY RACQUET & SWIM CLUB (KIDDIE POOL),2325 N. PEACHTREE WAY,DUNWOODY,30338,5/23/2012,No
153,DeKalb,STANFORD OAKS APTS.,2035 IDLEWOOD ROAD,TUCKER,30084,5/30/2012,No
154,DeKalb,COURTYARD BY MARRIOTT (POOL),4083 LAVISTA ROAD,TUCKER,30084,5/30/2012,Yes
155,DeKalb,COURTYARD BY MARRIOTT (SPA),4083 LAVISTA ROAD,TUCKER,30084,5/30/2012,No
156,DeKalb,KENCO-BUFORD II APTS.,2700 BUFORD HIGHWAY N.E.,ATLANTA,30324,5/30/2012,No
157,DeKalb,HIGHLAND LAKE APTS. (POOL 1),10 HIGHLAND LAKE CIRCLE,DECATUR,30033,5/30/2012,Yes
158,DeKalb,POLO CLUB APTS.,100 ASHLEY CREEK CIRCLE,STONE MOUNTAIN,30083,5/30/2012,No
159,DeKalb,ASHLAND WATERSCAPE APTS.,1401 N. HAIRSTON ROAD,STONE MOUNTAIN,30083,5/29/2012,Yes
160,DeKalb,AMLI PERIMETER GARDENS (CLUB POOL),100 AZALEA GARDEN DRIVE,DUNWOODY,30338,5/30/2012,No
161,DeKalb,1500 OAK APTS.,1500 POST OAK DRIVE,CLARKSTON,30021,5/30/2012,No
162,DeKalb,LAKESHORE APTS.,1281 BROCKETT ROAD,CLARKSTON,30021,5/30/2012,No
163,DeKalb,PORTOFINO APTS. (UPPER POOL),1250 BROCKETT ROAD,CLARKSTON,30021,5/30/2012,No
164,DeKalb,HIGHLAND VILLAS (LOWER POOL),1250 BROCKETT ROAD,CLARKSTON,30021,5/30/2012,No
165,DeKalb,WILDCREEK APTS. (POOL),100 WILD CIRCLE,CLARKSTON,30021,5/30/2012,Yes
166,DeKalb,WILDCREEK APTS. (SPA),100 WILD CIRCLE,CLARKSTON,30021,5/30/2012,No
167,DeKalb,SPRINGDALE GLEN APTS.,3800 BROCKETT TRAIL,CLARKSTON,30021,5/25/2012,No
168,DeKalb,STONE BREEZE SUBDIVISION,6905 STONE BREEZE DRIVE,STONE MOUNTAIN,30087,5/25/2012,Yes
169,DeKalb,RESERVE AT TWIN OAKS APTS. (POOL 2),1108 MONTREAL RD.,CLARKSTON,30021,5/25/2012,No
170,DeKalb,RESERVE AT TWIN OAKS APTS. (POOL 1),1108 MONTREAL RD.,CLARKSTON,30021,5/25/2012,No
171,DeKalb,HIGHLAND VILLAGE APTS.,3890 E. PONCE DE LEON AVE.,CLARKSTON,30021,5/23/2012,No
172,DeKalb,WILLOW BRANCH APTS.,822 N. INDIAN CREEK DRIVE,CLARKSTON,30021,5/24/2012,No
173,DeKalb,THE LAKES AT INDIAN CREEK APTS. (POOL 1),751 N. INDIAN CREEK DRIVE,CLARKSTON,30021,5/24/2012,Yes
174,DeKalb,CLARKSTON OAKS APTS.,767 NORTHERN AVE.,CLARKSTON,30021,5/23/2012,No
175,DeKalb,INDIAN VALLEY APTS.,3536-A INDIAN CREEK WAY,CLARKSTON,30021,5/23/2012,No
176,DeKalb,WOODSIDE VILLAGE APTS.,3954 MEMORIAL COLLEGE AVE.,CLARKSTON,30021,5/24/2012,No
177,DeKalb,BIRCH RUN APTS.,1204 BROCKETT ROAD,CLARKSTON,30021,5/24/2012,No
178,DeKalb,FOX TRAIL TOWNHOMES (APTS.),856 JAMIESON COURT,CLARKSTON,30021,5/24/2012,No
179,DeKalb,MILAM PARK POOL (KIDDIE POOL),3867 NORMAN ROAD,CLARKSTON,30021,5/23/2012,No
180,DeKalb,MILAM PARK SWIMMING POOL,NORMAN ROAD,CLARKSTON,30021,5/23/2012,No
181,DeKalb,VILLAGE MILL CLUB (POOL),4726 OLDE VILLAGE LN.,DUNWOODY,30338,5/15/2012,No
182,DeKalb,WALTON ASHWOOD APTS.,1000 ASHWOOD PKWY.,ATLANTA,30338,5/30/2012,No
183,DeKalb,VILLAGE MILL CLUB (KIDDIE POOL),4726 OLDE VILLAGE LN.,DUNWOODY,30338,5/15/2012,No
184,DeKalb,HARBOR POINTE @ WATER'S EDGE (POOL),2600 VISTA POINTE DRIVE,STONE MOUNTAIN,30087,5/31/2012,No
185,DeKalb,HARBOR POINTE @ WATER'S EDGE (KIDDIE POOL),2600 VISTA POINTE DRIVE,STONE MOUNTAIN,30087,5/31/2012,No
186,DeKalb,WYNBROOKE COMMUNITY (POOL),389 WYNBROOKE PKWY.,STONE MOUNTAIN,30087,5/31/2012,No
187,DeKalb,DEER CREEK HOMEOWNERS' ASSOCIATION,690 MALVERN BLVD.,STONE MOUNTAIN,30087,5/31/2012,No
188,DeKalb,SUMMIT POOL & TENNIS CLUB,2051 SILVER HILL ROAD,STONE MOUNTAIN,30087,5/31/2012,No
189,DeKalb,CARMEL CREEK APTS.,3658 BUFORD HIGHWAY N.E.,ATLANTA,30329,5/31/2012,No
190,DeKalb,REGENCY WOODS APTS.,3160 BUFORD HIGHWAY,ATLANTA,30329,5/31/2012,No
191,DeKalb,KENCO LAVISTA APTS.,2284 LAVISTA ROAD N.E.,ATLANTA,30329,5/31/2012,No
192,DeKalb,MARQ AT BROOKHAVEN,50 LINCOLN COURT AVE. N.E.,ATLANTA,30329,5/31/2012,No
193,DeKalb,THE SAVOY APTS.,4306 N. SHALLOWFORD ROAD,ATLANTA,30341,5/31/2012,No
194,DeKalb,SHALLOWFORD OAKS APTS.,4237 N. SHALLOWFORD ROAD,ATLANTA,30341,5/31/2012,Yes
195,DeKalb,KENCO-NORTH SHALLOWFORD APTS.,4207 N. SHALLOWFORD ROAD,CHAMBLEE,30341,5/31/2012,Yes
196,DeKalb,DRUID TOWNE APTS.,3731 BUFORD HIGHWAY N.E.,ATLANTA,30329,5/31/2012,Yes
197,DeKalb,COURTYARD BY MARRIOTT (POOL),4083 LAVISTA ROAD,TUCKER,30084,5/31/2012,No
198,DeKalb,UNITED METHODIST CHILDREN'S HOME,500 S. COLUMBIA DRIVE,DECATUR,30030,5/31/2012,No
199,DeKalb,MASTERS INN TUCKER,1435 MONTREAL RD.,TUCKER,30084,5/31/2012,No
200,DeKalb,KENCO- TUCKER APTS.,2006 NORTHLAKE PKWY.,TUCKER,30084,5/30/2012,Yes
201,DeKalb,HUNTINGTON CONDOMINIUMS,"3825 LAVISTA ROAD, STE. G-3",TUCKER,30084,5/31/2012,Yes
202,DeKalb,NORTHGATE TOWNHOMES APTS.,3555 LAWRENCEVILLE HWY.,TUCKER,30084,5/31/2012,No
203,DeKalb,BRITTANY CLUB (POOL),3359 BRETON CIRCLE,ATLANTA,30319,5/31/2012,No
204,DeKalb,BRITTANY CLUB (KIDDIE POOL),3359 BRETON CIRCLE,ATLANTA,30319,5/31/2012,No
205,DeKalb,JACKSON SQUARE CONDOMINIUMS,3133 BUFORD HIGHWAY,ATLANTA,30329,5/31/2012,No
206,DeKalb,VILLAS AT DRUID HILLS APTS.,3183 BUFORD HIGHWAY N.E.,ATLANTA,30329,5/31/2012,Yes
207,DeKalb,MARQUIS FOREST APTS.,3330 MOUNTAIN DRIVE,DECATUR,30032,5/31/2012,No
208,DeKalb,GREYSTONE COMMUNITY,1033 OLD GREYSTONE DRIVE,LITHONIA,30058,5/31/2012,No
209,DeKalb,BRIGHTON VILLAGE (POOL),1780 NORTHUMBERLAND WAY,ATLANTA,30316,5/31/2012,No
210,DeKalb,THE PARKS OF STONECREST SUBDIVISION (POOL 1),3484 DOGWOOD PASS,LITHONIA,30038,5/31/2012,No
211,DeKalb,MARQUIS CHASE APTS.,400 ASHLEY PLACE,STONE MOUNTAIN,30083,5/31/2012,No
212,DeKalb,HEATHWOOD GARDENS CONDOMINIUM ASSOCIATION,"1230 WOODLAND AVE. N.E., UNIT 2",ATLANTA,30324,5/31/2012,No
213,DeKalb,CHERRY RIDGE SUBDIVISION,3400 CHERRY RIDGE DRIVE,DECATUR,30034,5/31/2012,Yes
214,DeKalb,SWEET WATER RECREATION ASSOC. INC.,4204 STILL WATER POINT,ELLENWOOD,30294,5/31/2012,No
215,DeKalb,VILLAS ON MAIN,6813 MAIN STREET,LITHONIA,30058,5/31/2012,Yes
216,DeKalb,CARLYLE PARK TOWNHOMES,1531 LAFRANCE STREET,ATLANTA,30307,5/31/2012,No
